total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,customer_id,cluster,pca1,pca2,pca1_3d,pca2_3d,pca3_3d,customer_segment
7.0,129.34,52.17,18.0,0.0,CM00000,0,0.6270280928362926,1.4154127473623488,0.6270280928362926,1.4154127473623488,0.006316425179476943,High Spenders
22.0,24.18,9.19,15.0,7.0,CM00001,2,-2.167241382917614,-0.5677329143613831,-2.167241382917614,-0.5677329143613831,0.6314007510258705,Window Shoppers
2.0,32.18,90.69,50.0,2.0,CM00002,1,2.17845224337073,-1.119560660243036,2.17845224337073,-1.119560660243036,-0.41149488398560263,Bargain Hunters
25.0,26.85,11.22,16.0,10.0,CM00003,2,-2.638899033964227,-0.8178275992223653,-2.638899033964227,-0.8178275992223653,0.5549016694745339,Window Shoppers
7.0,125.45,34.19,30.0,3.0,CM00004,0,0.38243533619174597,0.9999545711379937,0.38243533619174597,0.9999545711379937,-0.46992173219078187,High Spenders
12.0,199.56,43.39,20.0,3.0,CM00005,0,-0.011260992711773254,2.229586693222223,-0.011260992711773254,2.229586693222223,-0.012305432759346072,High Spenders
23.0,43.48,13.11,12.0,10.0,CM00006,2,-2.55328000107208,-0.4554285040835958,-2.55328000107208,-0.4554285040835958,0.3123253114647646,Window Shoppers
27.0,46.58,7.2,14.0,7.0,CM00007,2,-2.5565982026398966,-0.2605657598747615,-2.5565982026398966,-0.2605657598747615,1.1306228493517878,Window Shoppers
9.0,35.1,9.24,25.0,8.0,CM00008,2,-0.9955882652027092,-0.49781825658840817,-0.9955882652027092,-0.49781825658840817,-0.9278914144861621,Window Shoppers
30.0,40.69,16.34,21.0,8.0,CM00009,2,-2.539476229886428,-0.6830298755331404,-2.539476229886428,-0.6830298755331404,1.3886288157809386,Window Shoppers
5.0,62.6,77.2,49.0,2.0,CM00010,1,1.7702708703711698,-0.5812716842923867,1.7702708703711698,-0.5812716842923867,-0.20175701964492912,Bargain Hunters
6.0,60.77,78.66,53.0,4.0,CM00011,1,1.6250965604441134,-0.8634054636093039,1.6250965604441134,-0.8634054636093039,-0.3501470165349121,Bargain Hunters
13.0,105.96,40.82,21.0,6.0,CM00012,0,-0.5783847270571254,0.5533920642700558,-0.5783847270571254,0.5533920642700558,-0.17668332003476975,High Spenders
21.0,26.34,14.85,14.0,7.0,CM00013,2,-2.0313512857746994,-0.5355169609250663,-2.0313512857746994,-0.5355169609250663,0.5454113181464195,Window Shoppers
13.0,100.0,28.4,20.0,2.0,CM00014,0,-0.3900352203568607,0.8484048814318679,-0.3900352203568607,0.8484048814318679,0.31820329242851697,High Spenders
15.0,101.29,51.21,21.0,2.0,CM00015,0,-0.1474435863222248,0.6626937376725435,-0.1474435863222248,0.6626937376725435,0.6514745163278635,High Spenders
28.0,21.48,5.64,9.0,5.0,CM00016,2,-2.637911731081171,-0.40127717465505125,-2.637911731081171,-0.40127717465505125,1.53860672670704,Window Shoppers
15.0,48.23,5.76,19.0,11.0,CM00017,2,-1.966585781956705,-0.43884996138186905,-1.966585781956705,-0.43884996138186905,-0.7326890166193282,Window Shoppers
9.0,167.25,42.02,23.0,2.0,CM00018,0,0.32698216907530103,1.7882965999947558,0.32698216907530103,1.7882965999947558,-0.15309337581622054,High Spenders
24.0,42.0,22.01,17.0,9.0,CM00019,2,-2.233494871870007,-0.5935462779986168,-2.233494871870007,-0.5935462779986168,0.6147765253276285,Window Shoppers
4.0,37.21,97.61,50.0,3.0,CM00020,1,2.042763042462989,-1.1885590635447174,2.042763042462989,-1.1885590635447174,-0.3033702068176613,Bargain Hunters
25.0,23.37,25.43,10.0,9.0,CM00021,2,-2.4973979855081847,-0.7642222267063026,-2.4973979855081847,-0.7642222267063026,0.7592971039509542,Window Shoppers
22.0,20.49,13.49,16.0,6.0,CM00022,2,-1.970402715606358,-0.6055477995229319,-1.970402715606358,-0.6055477995229319,0.7980714829887848,Window Shoppers
5.0,53.25,118.66,43.0,0.0,CM00023,1,2.4340760678709423,-0.7317114399373993,2.4340760678709423,-0.7317114399373993,0.28673365794337446,Bargain Hunters
6.0,55.45,85.37,46.0,0.0,CM00024,1,1.9334125876281454,-0.5546209397284013,1.9334125876281454,-0.5546209397284013,0.2299268507472319,Bargain Hunters
9.0,167.57,50.32,21.0,2.0,CM00025,0,0.3972845312780427,1.7815698208534965,0.3972845312780427,1.7815698208534965,-0.11517761584836904,High Spenders
6.0,29.86,65.17,54.0,0.0,CM00026,1,1.81276139837188,-0.9908005576378088,1.81276139837188,-0.9908005576378088,0.18265428271251494,Bargain Hunters
5.0,196.93,51.28,22.0,3.0,CM00027,0,0.682745842743316,2.1955853553329616,0.682745842743316,2.1955853553329616,-0.7304439531311125,High Spenders
3.0,71.22,76.43,54.0,2.0,CM00028,1,2.0712319187894033,-0.5239102911471128,2.0712319187894033,-0.5239102911471128,-0.42965940734370955,Bargain Hunters
9.0,180.97,41.96,13.0,4.0,CM00029,0,-0.16276590317174022,2.0813962030336692,-0.16276590317174022,2.0813962030336692,-0.4671152187964823,High Spenders
7.0,177.98,42.14,23.0,1.0,CM00030,0,0.6008502647203304,2.0532457658377408,0.6008502647203304,2.0532457658377408,-0.2509596237606206,High Spenders
10.0,159.86,51.02,17.0,0.0,CM00031,0,0.41230158843695036,1.8720649637790365,0.41230158843695036,1.8720649637790365,0.2780689886387604,High Spenders
17.0,13.66,22.08,11.0,9.0,CM00032,2,-1.9485662402312662,-0.7947959348446859,-1.9485662402312662,-0.7947959348446859,-0.11519905799257914,Window Shoppers
13.0,145.42,36.43,13.0,2.0,CM00033,0,-0.3947446189385006,1.6507451595823945,-0.3947446189385006,1.6507451595823945,0.2741300778632876,High Spenders
3.0,54.62,89.83,51.0,1.0,CM00034,1,2.2672058340205044,-0.733896319932108,2.2672058340205044,-0.733896319932108,-0.20326877086364245,Bargain Hunters
22.0,46.98,26.84,17.0,9.0,CM00035,2,-2.0019318118095133,-0.5194527592247763,-2.0019318118095133,-0.5194527592247763,0.41243374932723365,Window Shoppers
12.0,117.71,47.02,9.0,3.0,CM00036,0,-0.43083138258434583,1.1845195022740076,-0.43083138258434583,1.1845195022740076,0.11827165322302648,High Spenders
7.0,73.25,115.03,63.0,0.0,CM00037,1,2.868200225101876,-0.8708838074123301,2.868200225101876,-0.8708838074123301,0.4890761925647316,Bargain Hunters
12.0,187.29,52.41,20.0,3.0,CM00038,0,0.10828446485735303,1.9792804415583447,0.10828446485735303,1.9792804415583447,0.05277071218395939,High Spenders
24.0,29.22,23.46,21.0,11.0,CM00039,2,-2.3246740839866704,-1.029861438024857,-2.3246740839866704,-1.029861438024857,0.3744977676066927,Window Shoppers
16.0,45.23,10.94,12.0,12.0,CM00040,2,-2.281131523554501,-0.4502921345700045,-2.281131523554501,-0.4502921345700045,-0.741711523968189,Window Shoppers
6.0,55.15,60.26,49.0,1.0,CM00041,1,1.5240958341904052,-0.5267130036482557,1.5240958341904052,-0.5267130036482557,-0.028428115563586896,Bargain Hunters
5.0,38.11,99.57,54.0,0.0,CM00042,1,2.4397163540698936,-1.0803971021041336,2.4397163540698936,-1.0803971021041336,0.23342356943166948,Bargain Hunters
29.0,11.88,14.92,14.0,9.0,CM00043,2,-2.856017592326813,-1.0188686099863642,-2.856017592326813,-1.0188686099863642,1.1689307780286153,Window Shoppers
22.0,11.48,20.79,16.0,16.0,CM00044,2,-2.930945140038147,-1.4969158403922518,-2.930945140038147,-1.4969158403922518,-0.5247976082956417,Window Shoppers
22.0,18.26,29.67,18.0,10.0,CM00045,2,-2.0842338315023574,-1.0745363923827236,-2.0842338315023574,-1.0745363923827236,0.3369274130612454,Window Shoppers
6.0,119.62,42.21,21.0,1.0,CM00046,0,0.511862885207672,1.2105792292071662,0.511862885207672,1.2105792292071662,-0.26999179847724225,High Spenders
16.0,158.27,57.66,16.0,5.0,CM00047,0,-0.48738313463715116,1.384173432244438,-0.48738313463715116,1.384173432244438,0.2814754793549794,High Spenders
6.0,49.86,80.43,58.0,2.0,CM00048,1,1.9959427063990272,-1.013934070140992,1.9959427063990272,-1.013934070140992,-0.04048371266186988,Bargain Hunters
18.0,16.87,17.0,13.0,9.0,CM00049,2,-2.035728424519789,-0.7701241135699709,-2.035728424519789,-0.7701241135699709,-0.03318228665019952,Window Shoppers
8.0,37.37,87.37,37.0,1.0,CM00050,1,1.4085396136221597,-0.7481204162593542,1.4085396136221597,-0.7481204162593542,0.3349708231602957,Bargain Hunters
12.0,197.09,30.09,20.0,5.0,CM00051,0,-0.4357341053538563,2.1404900347824993,-0.4357341053538563,2.1404900347824993,-0.3501783696274687,High Spenders
4.0,51.23,73.65,58.0,0.0,CM00052,1,2.251052304922366,-0.7767338512030032,2.251052304922366,-0.7767338512030032,-0.020735149920796284,Bargain Hunters
19.0,13.42,10.33,11.0,10.0,CM00053,2,-2.386012110928062,-0.8193366853192722,-2.386012110928062,-0.8193366853192722,-0.09271176191347079,Window Shoppers
4.0,45.09,115.76,45.0,0.0,CM00054,1,2.5080123303965034,-0.8676011569640724,2.5080123303965034,-0.8676011569640724,0.17921195610033702,Bargain Hunters
20.0,21.73,15.23,13.0,10.0,CM00055,2,-2.3078276099008868,-0.7831707180318833,-2.3078276099008868,-0.7831707180318833,0.031430077875336436,Window Shoppers
8.0,102.57,27.23,30.0,1.0,CM00056,0,0.37113729079096175,0.8192316374714637,0.37113729079096175,0.8192316374714637,-0.08421809989111814,High Spenders
27.0,37.52,28.18,23.0,5.0,CM00057,2,-1.7610652073281472,-0.6005712159428802,-1.7610652073281472,-0.6005712159428802,1.540898690004332,Window Shoppers
4.0,65.22,94.53,51.0,1.0,CM00058,1,2.2860489067212457,-0.6167347794361282,2.2860489067212457,-0.6167347794361282,-0.08718968284788839,Bargain Hunters
6.0,73.75,113.7,58.0,0.0,CM00059,1,2.7711382214671074,-0.7286288624855236,2.7711382214671074,-0.7286288624855236,0.3637403267523178,Bargain Hunters
2.0,36.53,93.26,50.0,0.0,CM00060,1,2.438194333897811,-0.9290997202884291,2.438194333897811,-0.9290997202884291,-0.13069225976707532,Bargain Hunters
8.0,173.02,49.99,9.0,3.0,CM00061,0,0.007833319556987373,2.0782119419697542,0.007833319556987373,2.0782119419697542,-0.392670807323761,High Spenders
22.0,45.44,17.87,14.0,5.0,CM00062,2,-1.8119822993546086,-0.1351513560229954,-1.8119822993546086,-0.1351513560229954,0.9142405025698702,Window Shoppers
4.0,144.3,27.95,17.0,1.0,CM00063,0,0.35878709820929394,1.8061703992536653,0.35878709820929394,1.8061703992536653,-0.6068175380355553,High Spenders
7.0,35.9,79.72,61.0,0.0,CM00064,1,2.1887325555270283,-1.165440788265219,2.1887325555270283,-1.165440788265219,0.3675277648116913,Bargain Hunters
24.0,44.96,22.56,14.0,11.0,CM00065,2,-2.521819419874977,-0.6257197553195146,-2.521819419874977,-0.6257197553195146,0.332912220126587,Window Shoppers
17.0,26.35,22.08,16.0,9.0,CM00066,2,-1.775428126545067,-0.709503395423068,-1.775428126545067,-0.709503395423068,-0.12702117570208193,Window Shoppers
18.0,37.9,14.16,9.0,9.0,CM00067,2,-2.1634927093294816,-0.33762289161887604,-2.1634927093294816,-0.33762289161887604,-0.08791786428870298,Window Shoppers
25.0,43.4,5.29,10.0,10.0,CM00068,2,-2.8832607051299806,-0.38940944400715743,-2.8832607051299806,-0.38940944400715743,0.4883726146593883,Window Shoppers
